Applicant,LocationDescription,Address,Latitude,Longitude
Tacos Esmeralda,EVANS AVE: QUINT ST to RANKIN ST (1700 - 1799),1700 EVANS AVE,37.744889286143,-122.390971976935
The Chai Cart,NEW MONTGOMERY ST: AMBROSE BIERCE ST to MISSION ST (77 - 99),79 NEW MONTGOMERY ST,37.7878896999061,-122.400535326777
Bach Catering,EGBERT AVE: NEWHALL ST to PHELPS ST (1800 - 1899),1843 EGBERT AVE,37.7271654734939,-122.401093930725
Natan's Catering,BURKE AVE: END to 03RD ST (1500 - 1599),1580 BURKE AVE,37.7447521916164,-122.385679248721
The Whole Cart,POST ST: GRANT AVE to STOCKTON ST (200 - 299),225 POST ST,37.788440109524,-122.405607286668
Sun Rise Catering,09TH ST: LARKIN ST \ MARKET ST to JESSIE ST (1 - 55),55 09TH ST,37.7770972708968,-122.415102651361
Taza Halal Cart,MARKET ST: SUTTER ST to 02ND ST (560 - 574) -- NORTH --,572 MARKET ST,37.789811597719,-122.401342389334
Natan's Catering,ALEMANY BLVD: FOLSOM ST to ELLSWORTH ST \ I-280 S OFF RAMP \ I-280 S ON RAMP (400 - 498) -- NORTH --,400 ALEMANY BLVD,37.7331423951426,-122.414568632419
Sun Rise Catering,MONTGOMERY ST: SUTTER ST to BUSH ST (100 - 199),180 MONTGOMERY ST,37.790735810536,-122.40196900168
Cheese Gone Wild,01ST ST: NATOMA ST to HOWARD ST (165 - 199),400 HOWARD ST,37.7891192076677,-122.395881039335
Plaza Garibaldy,NEW MONTGOMERY ST: NATOMA ST to HOWARD ST (158 - 199),180 NEW MONTGOMERY ST,37.7862510074437,-122.399520766943
Natan's Catering,26TH ST: RHODE ISLAND ST to KANSAS ST (2200 - 2299),Assessors Block 4281a/Lot012A,37.7507607694601,-122.401540291357
Bach Catering,YOSEMITE AVE: LANE ST to MENDELL ST (1700 - 1799),1760 YOSEMITE AVE,37.7287554795043,-122.394408901501
Sun Rise Catering,SANSOME ST: SUTTER ST to BUSH ST (1 - 99),1 SANSOME ST,37.790485146128,-122.40094044069
Sun Rise Catering,TEHAMA ST: 08TH ST to 09TH ST (700 - 799),716 TEHAMA ST,37.7756237711242,-122.411781357745
Natan's Catering,,Assessors Block 4227/Lot012,37.7531551067155,-122.391174184456
Smokin Warehouse Barbecue,SOUTH VAN NESS AVE: 12TH ST \ MISSION ST \ OTIS ST intersection,1655 MISSION ST,37.7715637663341,-122.418801505439
Gour Chaat,CALIFORNIA ST: DRUMM ST to DAVIS ST (1 - 99),1 CALIFORNIA ST,37.7932137316634,-122.397043036718
Natan's Catering,,Assessors Block 8722/Lot003,37.7674330173312,-122.392149114172
Natan's Catering,17TH ST: MISSION ST to HOFF ST (3300 - 3343),3335 17TH ST,37.7631563932265,-122.420322231526
Tacos El Primo,QUINT ST: DAVIDSON AVE to EVANS AVE (300 - 399),1700 EVANS AVE,37.744889286143,-122.390971976935
"Del Popolo, LLC.",FRONT ST: JACKSON ST to PACIFIC AVE (600 - 699),600 FRONT ST,37.7974551567824,-122.399011222821
Afghani Rice,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,555 MARKET ST,37.7898898782098,-122.399930411351
Natan's Catering,,Assessors Block 4172/Lot010,37.7571245603861,-122.388529515257
Sun Rise Catering,TREAT AVE: 16TH ST \ HARRISON ST to 17TH ST (300 - 399),350 TREAT AVE,37.7645273058937,-122.413628336663
Sausage Slinger,NEW MONTGOMERY ST: MISSION ST to MINNA ST (100 - 130),100 NEW MONTGOMERY ST,37.7870415558717,-122.400427155584
Natan's Catering,,Assessors Block 7295/Lot022,37.7300036831892,-122.478186325415
Natan's Catering,HARRISON ST: MERLIN ST to OAK GROVE ST (924 - 950),950 HARRISON ST,37.7783886157866,-122.403191783229
Natan's Catering,HARRISON ST: 26TH ST to KAMILLE CT (3000 - 3048),3040 HARRISON ST,37.7488480565663,-122.412618994655
Sun Rise Catering,LANGTON ST: DECKER ALY to HARRISON ST (108 - 183),171 LANGTON ST,37.7756064329553,-122.40720707415
Natan's Catering,,Assessors Block 5369/Lot003,37.7381177715919,-122.404418467212
Natan's Catering,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1801 EVANS AVE,37.7445911950917,-122.393076880858
